t,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24
10,0.5878851589649602,0.0006619768191259598,0.08344572258257515,0.0,0.0,0.0007160951051505036,5.4182809913863024e-05,0.01128230795527982,0.012845098025449064,0.07575976119981956,0.0,0.0,5.547256661337226e-06,3.1242526240653757e-06,0.0009114983929350237,0.050445464485517774,0.0020735841228938733,0.0,0.0,2.9630917762452907e-05,4.81299448296296e-06,0.11677471396298052,0.0002735024478693279,0.00019513938696294754
11,0.5869936072979035,0.0007145221923023132,0.08250080632384395,0.0,0.0,0.0007160143749347933,5.414788612308793e-05,0.012211759251291284,0.013703967088042543,0.07396174377001996,0.0,0.0,6.019156997648347e-06,3.3670299715199483e-06,0.0009508998538748822,0.05058911436287086,0.002067490212939314,0.0,0.0,2.9723947927442006e-05,4.799412902366443e-06,0.11674357570305458,0.0002736038529865455,0.00019521173780500731
12,0.5861129897092225,0.0007640334652156324,0.08161131472096939,0.0,0.0,0.0007159278966970329,5.413832241600305e-05,0.013111481520190047,0.01450576485805709,0.07225075911621338,0.0,0.0,6.478682756966389e-06,3.600210807666807e-06,0.0009937773826505564,0.05073135764794517,0.002062584477212662,0.0,0.0,2.9816293672214222e-05,4.786562670969535e-06,0.11671244745356804,0.0002737052297143051,0.00019528406839166722
13,0.585243015166601,0.0008105668459152591,0.08077367456264797,0.0,0.0,0.0007158362042438669,5.415256109882731e-05,0.013982786731222937,0.015254297538875531,0.07062167780449054,0.0,0.0,6.926384597001038e-06,3.824375335213773e-06,0.0010397713965532981,0.05087210964851395,0.002058938227451771,0.0,0.0,2.9907901980313996e-05,4.7744921220923586e-06,0.11668132937794007,0.0002738065780605545,0.00019535637872859795
14,0.5843834355014991,0.000854221937052863,0.07998455576153057,0.0,0.0,0.0007157398332744158,5.418911062493091e-05,0.014826915441693506,0.01595307831954098,0.06906973549262452,0.0,0.0,7.36278356056485e-06,4.040059344479256e-06,0.0010885381318911176,0.05101129403450002,0.002056613435569513,0.0,0.0,2.9998724827530644e-05,4.76324444550711e-06,0.1166502216417122,0.0002739078980332394,0.00019542866882146865
15,0.5835340311498397,0.0008951232532714408,0.07924086119802182,0.0,0.0,0.0007156393074473199,5.4246554294106594e-05,0.015645041246584973,0.016605352931239957,0.06759050287816137,0.0,0.0,7.788372879088707e-06,4.2477580652464095e-06,0.0011397522808834649,0.051148842534717104,0.002055663166333104,0.0,0.0,3.008871900248045e-05,4.752857890832999e-06,0.11661912441187121,0.0002740091896403033,0.00019550093867594685
16,0.5826946022167733,0.0009334087519208083,0.07853971270976808,0.0,0.0,0.0007155351307334878,5.432355290989239e-05,0.016438275083866017,0.01721412359915093,0.06617985739759029,0.0,0.0,8.203619724413121e-06,4.447929807195392e-06,0.0011931079929052605,0.051284694540942415,0.0020561320975147337,0.0,0.0,3.0177845872805335e-05,4.743366023071953e-06,0.11658803785613436,0.00027411045288968755,0.00019557318829769847
17,0.5818649615932147,0.0009692210366799554,0.07787843726179658,0.0,0.0,0.0007154277819733527,5.441884566726227e-05,0.017207669202965403,0.01778217066022995,0.0648339575998779,0.0,0.0,8.608966824154962e-06,4.640999268307127e-06,0.0012483193618620556,0.051418796706945075,0.0020580570365166463,0.0,0.0,3.0266071148559803e-05,4.734797979202222e-06,0.11655696214213192,0.0002742116877893311,0.000195645417692388
18,0.5810449305121798,0.0010027017735709705,0.07725455259421682,0.0,0.0,0.0007153177121606654,5.453124869039446e-05,0.017954220859612582,0.018312072145549203,0.06354921983217879,0.0,0.0,9.004833967936398e-06,4.8273605460695825e-06,0.0013051202522183774,0.051551102530000184,0.0020614674464749776,0.0,0.0,3.035336463540516e-05,4.727178733152957e-06,0.11652589743654695,0.00027431289434717073,0.00019571762686567808
19,0.5802343361597964,0.0010339888187497856,0.07666575307964096,0.0,0.0,0.0007152053439454063,5.465965181318319e-05,0.018678875668146175,0.01880622096255259,0.06232229767199879,0.0,0.0,9.391619377425191e-06,5.007379786522672e-06,0.001363263617145454,0.051681571933360725,0.002066385960953425,0.0,0.0,3.0439699988435265e-05,4.720529358048048e-06,0.11649484390427013,0.00027441407257114116,0.00019578981582323
20,0.5794330100644307,0.0010632143824292942,0.07610989621059319,0.0,0.0,0.0007150910719207677,5.480301486408077e-05,0.019382530748702307,0.019266840587053323,0.06115006305703466,0.0,0.0,9.769700994821483e-06,5.181397604030241e-06,0.0014225206565530058,0.051810170857457316,0.0020728288836208515,0.0,0.0,3.052505447115235e-05,4.714867282197432e-06,0.11646380170755835,0.00027451522246917467,0.00019586198457070334
21,0.5786407870408616,0.0010905039513410646,0.07558498924493162,0.0,0.0,0.0007149752635280419,5.496036346618151e-05,0.020066037813665307,0.0196959999856031,0.06002958824625712,0.0,0.0,1.013943774851009e-05,5.3497313809519995e-06,0.0014826798239329618,0.05193687084394293,0.002080806692795158,0.0,0.0,3.06094087102172e-05,4.7102065489297905e-06,0.11643277100516504,0.00027461634404920144,0.00019593413311375617
22,0.5778575048072667,0.0011159760689427687,0.07508917840927676,0.0,0.0,0.0007148582603360107,5.513078517748306e-05,0.020730205643038707,0.020095625161532123,0.05895813177464578,0.0,0.0,1.0501170570428163e-05,5.5126770432687945e-06,0.001543545881914117,0.05206164868923403,0.0020903244580810117,0.0,0.0,3.069274649114483e-05,4.706558032441634e-06,0.11640175195162995,0.0002747174373191494,0.00019600626145804486
23,0.5770830036369554,0.0011397421859004786,0.07462073764472085,0.0,0.0,0.0007147403794439144,5.5313425403400925e-05,0.021375802678177822,0.020467511128912968,0.05793312386057604,0.0,0.0,1.0855223462548718e-05,5.6705109001497405e-06,0.001604938895663952,0.052184486079243336,0.002101382278832901,0.0,0.0,3.077505454289454e-05,4.703929665278329e-06,0.11637074469653301,0.0002748185022869442,0.00019607836960922436
24,0.5763171261759231,0.0011619066753730508,0.07417806110960999,0.0,0.0,0.000714621914540624,5.550748452143147e-05,0.022003558854626067,0.020813329812469875,0.05695215665573089,0.0,0.0,1.1201904255129708e-05,5.823490854178423e-06,0.0016666934988709267,0.052305369322698345,0.002113975601696265,0.0,0.0,3.085632238046482e-05,4.7023266042632445e-06,0.1163397493839951,0.00027491953896050946,0.00019615045757294787
25,0.5755597169551171,0.0011825667223849918,0.07375964569691404,0.0,0.0,0.0007145031382147729,5.57122113728231e-05,0.022614169738989425,0.0211346485664341,0.056012961549905184,0.0,0.0,1.1541506312447806e-05,5.971859242756973e-06,0.0017286572641639368,0.05242428875966819,0.002128095927888645,0.0,0.0,3.0936541955941784e-05,4.70175159868953e-06,0.11630876615151929,0.0002750205473477664,0.00019622252535486713
26,0.5748106232610115,0.0012018135884205034,0.07336409037808132,0.0,0.0,0.0007143843030838281,5.5926902153042035e-05,0.023208296650802346,0.021432929856145436,0.05511340936712772,0.0,0.0,1.1874308583140227e-05,6.115842766879221e-06,0.001790690374767452,0.05254123872089392,0.0021437308526510075,0.0,0.0,3.10157076344317e-05,4.702205014339478e-06,0.1162777951299871,0.00027512152745663406,0.00019629457296063224
27,0.5740696953774245,0.0012197332566520815,0.07299008789049269,0.0,0.0,0.0007142656434816393,5.615089680338241e-05,0.02378656866550361,0.021709539513779828,0.05425150008835759,0.0,0.0,1.2200576428589497e-05,6.255653744678708e-06,0.0018526646829721384,0.052656217225690374,0.0021608644205343983,0.0,0.0,3.109381601572388e-05,4.703685020801086e-06,0.11624683644313208,0.0002752224792950292,0.00019636660039589176
28,0.5733367860672598,0.0012364061240117982,0.07263641554028383,0.0,0.0,0.0007141473765309716,5.6383575600873394e-05,0.024349585054604918,0.021965756717079635,0.053425350409726846,0.0,0.0,1.2520562639740952e-05,6.391491631990648e-06,0.0019144628187767836,0.05276922562679143,0.0021794775448026656,0.0,0.0,3.1170865724347944e-05,4.706187812413522e-06,0.11621589020705822,0.00027532340287086666,0.00019643860766629262
